District,Attribute,Measure
Bagalkot,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,1.1
Bagalkot,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,0.2
Bagalkot,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,52.1
Bagalkot,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,0.6
Bagalkot,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0.3
Bagalkot,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.5
Bagalkot,Percentage distribution of live births by order of birth - 3rd & above,41.3
Bagalkot,Percentage of deliveries assisted by a skilled health professional - Total,15.2
Bagalkot,Percentage of women who had antenatal check up - Antenatal check up at home,8.8
Bagalkot,Percentage of women who had antenatal check up - Any antenatal check up,88
Bagalkot,Percentage of women who had antenatal check up - No antenatal check up,12
Bagalkot,Percentage of women who had antenatal check up - Three or more antenatal check ups,62.9
Bagalkot,Currently married women who had childbirth at home - Total,50.5
Bagalkot,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,28.5
Bagalkot,Pregnant women who had two or more TT injections - Total,73.5
Bagalkot,Pregnant women who received adequate IFA tablets/syrup - Total,18.4
Bagalkot,Unmet need for family planning - For limiting,4.9
Bagalkot,Unmet need for family planning - For spacing,12.7
Bagalkot,Unmet need for family planning - Total,17.6
Bagalkot,Women who had institutional delivery - Total,47.1
Bagalkot,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,20.4
Bagalkot,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,67.2
Bagalkot,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,98.9
Bagalkot,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,55.7
Bagalkot,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,57.6
Bagalkot,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,83.1
Bagalkot,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,53.6
Bagalkot,Percentage of births to women aged 15-19 years - Total,17.3
Bagalkot,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,58.3
Bagalkot,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0.3
Bagalkot,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0.6
Bagalkot,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0.7
Belgaum,Households with toilet facility - Total,29.7
Belgaum,Type of houses occupied - Pucca,21.6
Belgaum,Living in own house - Total,89.5
Belgaum,Mean age at marriage - Female,18
Belgaum,Mean age at marriage - Male,24.3
Belgaum,Population size - Female,2351335
Belgaum,Population size - Female 0-6 yr,291925
Belgaum,Population size - Male,2427104
Belgaum,Population size - Male 0-6 yr,313599
Belgaum,Population size - Rural,3567739
Belgaum,Population size - Rural 0-6 yr,472398
Belgaum,Population size - Rural Female,1753813
Belgaum,Population size - Rural Female 0-6 yr,227916
Belgaum,Population size - Rural Male,1813926
Belgaum,Population size - Rural Male 0-6 yr,244482
Belgaum,Population size - Total,4778439
Belgaum,Population size - Total 0-6 yr,605524
Belgaum,Population size - Urban,1210700
Belgaum,Population size - Urban 0-6 yr,133126
Belgaum,Population size - Urban Female,597522
Belgaum,Population size - Urban Female 0-6 yr,64009
Belgaum,Population size - Urban Male,613178
Belgaum,Population size - Urban Male 0-6 yr,69117
Belgaum,Population density - Total,356
Belgaum,Sex ratio - Rural,967
Belgaum,Sex ratio - Total,969
Belgaum,Sex ratio - Urban,974
Belgaum,Sex ratio (0-6 years) - Rural,932
Belgaum,Sex ratio (0-6 years) - Total,931
Belgaum,Sex ratio (0-6 years) - Urban,926
Belgaum,Percentage of households who own any agricultural land - Total,60.2
Belgaum,Percentage distribution of population by wealth quintiles - Highest,20.9
Belgaum,Percentage distribution of population by wealth quintiles - Lowest,18.4
Belgaum,Percentage of households holding below poverty line (BPL) ration cards - Total,43.9
Belgaum,Children aged 6-11 years attending school - Female,97.9
Belgaum,Children aged 6-11 years attending school - Male,99.4
Belgaum,Literacy rate (age 7+) - Female,64.74
Belgaum,Literacy rate (age 7+) - Male,82.9
Belgaum,Literacy rate (age 7+) - Rural,69.68
Belgaum,Literacy rate (age 7+) - Rural Female,59.26
Belgaum,Literacy rate (age 7+) - Rural Male,79.81
Belgaum,Literacy rate (age 7+) - Total,73.94
Belgaum,Literacy rate (age 7+) - Urban,86.16
Belgaum,Literacy rate (age 7+) - Urban Female,80.4
Belgaum,Literacy rate (age 7+) - Urban Male,91.82
Belgaum,Number of literates aged 7 years and above - Female,1333230
Belgaum,Number of literates aged 7 years and above - Male,1752062
Belgaum,Number of literates aged 7 years and above - Rural,2156835
Belgaum,Number of literates aged 7 years and above - Rural Female,904312
Belgaum,Number of literates aged 7 years and above - Rural Male,1252523
Belgaum,Number of literates aged 7 years and above - Total,3085292
Belgaum,Number of literates aged 7 years and above - Urban,928457
Belgaum,Number of literates aged 7 years and above - Urban Female,428918
Belgaum,Number of literates aged 7 years and above - Urban Male,499539
Belgaum,Households with electricity - Total,85.7
Belgaum,Households using LPG for cooking - Total,22.3
Belgaum,Households with improved source of drinking water - Total,86.8
Belgaum,Children aged under 3 yrs with ARI/fever taken to a health facility - Total,71.1
Belgaum,Children aged under 3 yrs with diarrhoea taken to a health facility - Total,57.1
Belgaum,Children aged under 3 yrs with diarrhoea treated with ORS - Total,22.6
Belgaum,Women whose child under 3 yrs suffered from diarrhoea - Total,17.8
Belgaum,Women whose child under 3 yrs suffered from diarrhoea taken to a health facility - Total,83.5
Belgaum,Women whose child under 3 yrs suffered from diarrhoea treated with ORS - Total,22.7
Belgaum,Women whose child under 3 yrs suffered from pneumonia - Total,25.6
Belgaum,Women whose child under 3 yrs suffered from pneumonia taken to a health facility - Total,77.1
Belgaum,Women with children under 3 yrs aware of diarrhoea - Total,50.6
Belgaum,Women with children under 3 yrs aware of pneumonia - Total,35.9
Belgaum,Women with children under 3 yrs having knowledge of ORS - Total,15.2
Belgaum,Children aged under 3 years who received medical check-up within 24 hours after delivery - Total,67.6
Belgaum,Percentage of villages with health sub-centre within 3 km - Total,45.2
Belgaum,Percentage of Primary Health Centre (PHC) functioning on 24 hr basis - Total,70
Belgaum,BCG immunization - Total 12-23 mo,99.4
Belgaum,BCG immunization - Total 12-35 mo,89.9
Belgaum,Complete immunization - Total 12-23 mo,67.9
Belgaum,Complete immunization - Total 12-35 mo,56.7
Belgaum,DPT3 immunization - Total 12-23 mo,72.8
Belgaum,DPT3 immunization - Total 12-35 mo,74.2
Belgaum,Measles immunization - Total 12-23 mo,89.7
Belgaum,Measles immunization - Total 12-35 mo,63.9
Belgaum,No immunization - Total 12-23 mo,9.3
Belgaum,No immunization - Total 12-35 mo,7.4
Belgaum,OPV3 immunization - Total 12-23 mo,88.4
Belgaum,OPV3 immunization - Total 12-35 mo,73.8
Belgaum,Percentage of women aged 15-49 years who have undergone HIV/AIDS testing - Total,27.2
Belgaum,Ever married women aged 15-49 years who have heard of HIV/AIDS - Total,79.5
Belgaum,Ever married women aged 15-49 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,19.5
Belgaum,Percentage of unmarried women aged 15-24 years who received an HIV test - Total,13.8
Belgaum,Percentage of unmarried women aged 15-24 years who have heard of HIV/AIDS - Total,92.1
Belgaum,Percentage of unmarried women aged 15-24 years who know that consistent condom use can reduce the chances of getting HIV/AIDS - Total,18.1
Belgaum,Proportion of households having television - Total,48.6
Belgaum,Percentage of households who own a mobile phone - Total,33.9
Belgaum,Percentage of households who own a motorized vehicle - Total,25.5
Belgaum,Children aged under 3 yrs initiated breastfeeding within one hour of birth - Total,45.6
Belgaum,Children aged under 3 yrs initiated breastfeeding within two hours of birth - Total,38.6
Belgaum,Exclusive breastfeeding rate - Atleast 4 months,36.2
Belgaum,Exclusive breastfeeding rate - Atleast 6 months,50.9
Belgaum,Timely complementary feeding rate - Total 6-24 mo,69.2
Belgaum,Anaemia among adolescent girls - Total 10-19 yr Mild,57.6
Belgaum,Anaemia among adolescent girls - Total 10-19 yr Moderate,26.7
Belgaum,Anaemia among adolescent girls - Total 10-19 yr Severe,10.3
Belgaum,Anaemia among children - Mild Under 6 yr,72.7
Belgaum,Anaemia among children - Moderate Under 6 yr,22.7
Belgaum,Anaemia among children - Severe Under 6 yr,0.7
Belgaum,Anaemia among pregnant women - Female 15-44 yr Mild,78.6
Belgaum,Anaemia among pregnant women - Female 15-44 yr Moderate,17.9
Belgaum,Anaemia among pregnant women - Female 15-44 yr Severe,0
Belgaum,Prevalence of underweight (moderate and severe) - Under 6 yr,40.9
Belgaum,Prevalence of underweight (severe) - Under 6 yr,11.2
Belgaum,Children who received vitamin A supplements - Total 9-35 mo,65.7
Belgaum,Use of iodised salt - Adequately Iodised,27.9
Belgaum,Children aged 21 months and above who received three doses of Vitamin A - Total,29.8
Belgaum,Marriage below legal age at marriage - Female,42.6
Belgaum,Marriage below legal age at marriage - Male,18.7
Belgaum,Currently married women aged 15-44 yrs aware of RTI/STI - Total,33.3
Belgaum,Prevalence of RTI/STI - Female,25.3
Belgaum,Ever married women aged 15-49 years who have heard of RTI/STI - Total,39.5
Belgaum,Percentage of unmarried women aged 15-24 years who have heard of RTI/STI - Total,59
Belgaum,Antenatal care (all components) - Total,26.6
Belgaum,Contraceptive prevalence rate by method - Total 15-49 yr Any method,64
Belgaum,Contraceptive prevalence rate by method - Total 15-49 yr Any modern method,64.3
Belgaum,Contraceptive prevalence rate by method - Total 15-49 yr Any traditional method,1.3
Belgaum,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Condom/Nirodh,1.8
Belgaum,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Female sterilization,59.6
Belgaum,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr IUD,0.9
Belgaum,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Male sterilization,0.4
Belgaum,Contraceptive prevalence rate of modern methods by method - Total 15-49 yr Pills,0.8
Belgaum,Percentage distribution of live births by order of birth - 3rd & above,33.8
Belgaum,Percentage of deliveries assisted by a skilled health professional - Total,5.4
Belgaum,Percentage of women who had antenatal check up - Antenatal check up at home,3.7
Belgaum,Percentage of women who had antenatal check up - Any antenatal check up,95.6
Belgaum,Percentage of women who had antenatal check up - No antenatal check up,4.4
Belgaum,Percentage of women who had antenatal check up - Three or more antenatal check ups,71.5
Belgaum,Currently married women who had childbirth at home - Total,38.7
Belgaum,Pregnant women who consumed two or more IFA tablets regularly during pregnancy - Total,24.4
Belgaum,Pregnant women who had two or more TT injections - Total,82.8
Belgaum,Pregnant women who received adequate IFA tablets/syrup - Total,28.1
Belgaum,Unmet need for family planning - For limiting,4.2
Belgaum,Unmet need for family planning - For spacing,10.5
Belgaum,Unmet need for family planning - Total,14.7
Belgaum,Women who had institutional delivery - Total,75.4
Belgaum,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr All modern method,4.8
Belgaum,Currently married women who have knowledge of modern contraceptive methods by method - Total 15-44 yr Any modern spacing method,68.3
Belgaum,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any modern method,99.7
Belgaum,Currently married women who have knowledge of contraceptive methods - Total 15-44 yr Any traditional method,10.8
Belgaum,Currently married women aged 15-49 years who received antenatal check-up in the first trimester during pregnancy - Total,61.8
Belgaum,Currently married women aged 15-49 years who received at least one tetanus toxoid (TT) injection during pregnancy - Total,80
Belgaum,Currently married women aged 15-49 years who received any medical check-up within 48 hours of child birth - Total,68.4
Belgaum,Percentage of births to women aged 15-19 years - Total,8.9
Belgaum,Percentage of Women aged 20-24 years reporting birth of order 2 and above - Total,55
Belgaum,Percentage of Women aged 15-49 years who have heard about antenatal care from ASHA - Total,0
Belgaum,Percentage of Women aged 15-49 years who have heard about institutional delivery from ASHA - Total,0.7
Belgaum,Percentage of Women aged 15-49 years who have heard about family planning methods from ASHA - Total,0.3
Bellary,Households with toilet facility - Total,32.2
Bellary,Type of houses occupied - Pucca,22
Bellary,Living in own house - Total,88.6
Bellary,Mean age at marriage - Female,18.8
Bellary,Mean age at marriage - Male,24.1
Bellary,Population size - Female,1251981
